Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2024-08-14 06:45:34;2021-01-18;B.1.1.529;Omicron;;;;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.2.75;Omicron;VOI;;BA.2;651;0
4;2024-08-14 06:45:34;2021-01-18;XBB.1.5;Omicron;VOI;VOI;XBB;651;0
4;2024-08-14 06:45:34;2021-01-18;EG.5;Omicron;VOI;VOI;XBB.1.9;651;0
4;2024-08-14 06:45:34;2021-01-18;XBB.1.16;Omicron;VUM;VOI;XBB;651;0
4;2024-08-14 06:45:34;2021-01-18;CH.1.1;Omicron;DEV;;BA.2.75;651;0
4;2024-08-14 06:45:34;2021-01-18;XBB;Omicron;DEV;VUM;Recombinants;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.2.86;Omicron;VOI;VUM;BA.2;651;0
4;2024-08-14 06:45:34;2021-01-18;JN.1;Omicron;VOI;VUM;BA.2.86;651;0
4;2024-08-14 06:45:34;2021-01-18;KP.2;Omicron;;VUM;JN.1;651;0
4;2024-08-14 06:45:34;2021-01-18;KP.3;Omicron;;VUM;JN.1;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.2;Omicron;DEV;;B.1.1.529;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.4;Omicron;DEV;;B.1.1.529;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.5;Omicron;DEV;;B.1.1.529;651;0
4;2024-08-14 06:45:34;2021-01-18;BQ.1;Omicron;DEV;;BA.5;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.2.3.20;Omicron;DEV;;BA.2;651;0
4;2024-08-14 06:45:34;2021-01-18;BF.7;Omicron;DEV;;BA.5;651;0
4;2024-08-14 06:45:34;2021-01-18;XBC;Omicron;DEV;;Recombinants;651;0
4;2024-08-14 06:45:34;2021-01-18;BN.1;Omicron;DEV;;BA.2.75;651;0
4;2024-08-14 06:45:34;2021-01-18;XAY;Omicron;DEV;;Recombinants;651;0
4;2024-08-14 06:45:34;2021-01-18;BQ.1.1;Omicron;;;BQ.1;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.4.6;Omicron;;;BA.4;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.3;Omicron;DEV;;B.1.1.529;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.2.12.1;Omicron;DEV;;BA.2+S:L452X;651;0
4;2024-08-14 06:45:34;2021-01-18;BA.1;Omicron;DEV;;B.1.1.529;651;0
4;2024-08-14 06:45:34;2021-01-18;B.1.617.2;Delta;DEV;;;651;0
4;2024-08-14 06:45:34;2021-01-18;B.1.351;Beta;DEV;;;651;3
4;2024-08-14 06:45:34;2021-01-18;P.1;Gamma;DEV;;;651;0
